insert into DOSEN_PEMBIMBING (IDMKS, NIPdosenpembimbing) values (17, 2306414207);
insert into DOSEN_PEMBIMBING (IDMKS, NIPdosenpembimbing) values (24, 2306414215);
insert into DOSEN_PEMBIMBING (IDMKS, NIPdosenpembimbing) values (7, 2306414218);
insert into DOSEN_PEMBIMBING (IDMKS, NIPdosenpembimbing) values (29, 2306414213);
insert into DOSEN_PEMBIMBING (IDMKS, NIPdosenpembimbing) values (23, 2306414217);
insert into DOSEN_PEMBIMBING (IDMKS, NIPdosenpembimbing) values (6, 2306414218);
insert into DOSEN_PEMBIMBING (IDMKS, NIPdosenpembimbing) values (15, 2306414214);
insert into DOSEN_PEMBIMBING (IDMKS, NIPdosenpembimbing) values (21, 2306414209);
insert into DOSEN_PEMBIMBING (IDMKS, NIPdosenpembimbing) values (18, 2306414213);
insert into DOSEN_PEMBIMBING (IDMKS, NIPdosenpembimbing) values (7, 2306414219);
insert into DOSEN_PEMBIMBING (IDMKS, NIPdosenpembimbing) values (22, 2306414219);
insert into DOSEN_PEMBIMBING (IDMKS, NIPdosenpembimbing) values (28, 2306414217);
insert into DOSEN_PEMBIMBING (IDMKS, NIPdosenpembimbing) values (5, 2306414216);
insert into DOSEN_PEMBIMBING (IDMKS, NIPdosenpembimbing) values (11, 2306414207);

insert into DOSEN_PEMBIMBING (IDMKS, NIPdosenpembimbing) values (30, 2306414214);
insert into DOSEN_PEMBIMBING (IDMKS, NIPdosenpembimbing) values (4, 2306414211);
insert into DOSEN_PEMBIMBING (IDMKS, NIPdosenpembimbing) values (3, 2306414203);
insert into DOSEN_PEMBIMBING (IDMKS, NIPdosenpembimbing) values (17, 2306414217);
insert into DOSEN_PEMBIMBING (IDMKS, NIPdosenpembimbing) values (8, 2306414208);
insert into DOSEN_PEMBIMBING (IDMKS, NIPdosenpembimbing) values (28, 2306414203);
insert into DOSEN_PEMBIMBING (IDMKS, NIPdosenpembimbing) values (26, 2306414210);
insert into DOSEN_PEMBIMBING (IDMKS, NIPdosenpembimbing) values (21, 2306414215);
insert into DOSEN_PEMBIMBING (IDMKS, NIPdosenpembimbing) values (27, 2306414215);
insert into DOSEN_PEMBIMBING (IDMKS, NIPdosenpembimbing) values (14, 2306414201);
insert into DOSEN_PEMBIMBING (IDMKS, NIPdosenpembimbing) values (6, 2306414212);
insert into DOSEN_PEMBIMBING (IDMKS, NIPdosenpembimbing) values (26, 2306414202);
insert into DOSEN_PEMBIMBING (IDMKS, NIPdosenpembimbing) values (11, 2306414215);
insert into DOSEN_PEMBIMBING (IDMKS, NIPdosenpembimbing) values (29, 2306414200);
insert into DOSEN_PEMBIMBING (IDMKS, NIPdosenpembimbing) values (15, 2306414212);
insert into DOSEN_PEMBIMBING (IDMKS, NIPdosenpembimbing) values (13, 2306414217);
insert into DOSEN_PEMBIMBING (IDMKS, NIPdosenpembimbing) values (18, 2306414203);
insert into DOSEN_PEMBIMBING (IDMKS, NIPdosenpembimbing) values (14, 2306414216);
insert into DOSEN_PEMBIMBING (IDMKS, NIPdosenpembimbing) values (8, 2306414211);
insert into DOSEN_PEMBIMBING (IDMKS, NIPdosenpembimbing) values (8, 2306414203);
insert into DOSEN_PEMBIMBING (IDMKS, NIPdosenpembimbing) values (5, 2306414212);
insert into DOSEN_PEMBIMBING (IDMKS, NIPdosenpembimbing) values (11, 2306414205);
insert into DOSEN_PEMBIMBING (IDMKS, NIPdosenpembimbing) values (17, 2306414204);
insert into DOSEN_PEMBIMBING (IDMKS, NIPdosenpembimbing) values (28, 2306414200);
insert into DOSEN_PEMBIMBING (IDMKS, NIPdosenpembimbing) values (4, 2306414212);
insert into DOSEN_PEMBIMBING (IDMKS, NIPdosenpembimbing) values (17, 2306414205);
insert into DOSEN_PEMBIMBING (IDMKS, NIPdosenpembimbing) values (27, 2306414219);
insert into DOSEN_PEMBIMBING (IDMKS, NIPdosenpembimbing) values (7, 2306414219);
insert into DOSEN_PEMBIMBING (IDMKS, NIPdosenpembimbing) values (17, 2306414218);
insert into DOSEN_PEMBIMBING (IDMKS, NIPdosenpembimbing) values (6, 2306414215);
insert into DOSEN_PEMBIMBING (IDMKS, NIPdosenpembimbing) values (11, 2306414215);
insert into DOSEN_PEMBIMBING (IDMKS, NIPdosenpembimbing) values (17, 2306414213);
insert into DOSEN_PEMBIMBING (IDMKS, NIPdosenpembimbing) values (19, 2306414212);
insert into DOSEN_PEMBIMBING (IDMKS, NIPdosenpembimbing) values (4, 2306414216);
insert into DOSEN_PEMBIMBING (IDMKS, NIPdosenpembimbing) values (28, 2306414206);
insert into DOSEN_PEMBIMBING (IDMKS, NIPdosenpembimbing) values (2, 2306414217);
insert into DOSEN_PEMBIMBING (IDMKS, NIPdosenpembimbing) values (27, 2306414211);
insert into DOSEN_PEMBIMBING (IDMKS, NIPdosenpembimbing) values (9, 2306414217);
insert into DOSEN_PEMBIMBING (IDMKS, NIPdosenpembimbing) values (17, 2306414217);
insert into DOSEN_PEMBIMBING (IDMKS, NIPdosenpembimbing) values (17, 2306414215);
insert into DOSEN_PEMBIMBING (IDMKS, NIPdosenpembimbing) values (29, 2306414214);
insert into DOSEN_PEMBIMBING (IDMKS, NIPdosenpembimbing) values (3, 2306414218);
insert into DOSEN_PEMBIMBING (IDMKS, NIPdosenpembimbing) values (2, 2306414211);
insert into DOSEN_PEMBIMBING (IDMKS, NIPdosenpembimbing) values (8, 2306414210);
insert into DOSEN_PEMBIMBING (IDMKS, NIPdosenpembimbing) values (11, 2306414210);
insert into DOSEN_PEMBIMBING (IDMKS, NIPdosenpembimbing) values (3, 2306414203);
insert into DOSEN_PEMBIMBING (IDMKS, NIPdosenpembimbing) values (28, 2306414218);
insert into DOSEN_PEMBIMBING (IDMKS, NIPdosenpembimbing) values (8, 2306414214);
insert into DOSEN_PEMBIMBING (IDMKS, NIPdosenpembimbing) values (4, 2306414207);
insert into DOSEN_PEMBIMBING (IDMKS, NIPdosenpembimbing) values (9, 2306414213);
insert into DOSEN_PEMBIMBING (IDMKS, NIPdosenpembimbing) values (20, 2306414206);
insert into DOSEN_PEMBIMBING (IDMKS, NIPdosenpembimbing) values (11, 2306414203);
insert into DOSEN_PEMBIMBING (IDMKS, NIPdosenpembimbing) values (25, 2306414201);
insert into DOSEN_PEMBIMBING (IDMKS, NIPdosenpembimbing) values (7, 2306414215);
insert into DOSEN_PEMBIMBING (IDMKS, NIPdosenpembimbing) values (12, 2306414219);
insert into DOSEN_PEMBIMBING (IDMKS, NIPdosenpembimbing) values (24, 2306414215);
insert into DOSEN_PEMBIMBING (IDMKS, NIPdosenpembimbing) values (17, 2306414219);
insert into DOSEN_PEMBIMBING (IDMKS, NIPdosenpembimbing) values (15, 2306414212);
insert into DOSEN_PEMBIMBING (IDMKS, NIPdosenpembimbing) values (23, 2306414218);
insert into DOSEN_PEMBIMBING (IDMKS, NIPdosenpembimbing) values (28, 2306414215);
